"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 276",0.0253086023224059,0.0049430863910949,99.6861771375734
"comp 277",0.0249451926008291,0.00487210792984942,99.6910492455032
"comp 278",0.0245874782712898,0.00480224184986129,99.6958514873531
"comp 279",0.0244825445272404,0.00478174697797663,99.7006332343311
"comp 280",0.0241785521162582,0.00472237346020667,99.7053556077913
"comp 281",0.0237368834715838,0.00463611005304371,99.7099917178443
"comp 282",0.0234169977791276,0.00457363237873585,99.714565350223
"comp 283",0.0233661721954931,0.00456370550693225,99.71912905573
"comp 284",0.0227827043872028,0.00444974695062555,99.7235788026806
"comp 285",0.0224395940240696,0.00438273320782609,99.7279615358884
"comp 286",0.0223110832241279,0.00435763344221248,99.7323191693306
"comp 287",0.0218885517583349,0.00427510776529979,99.7365942770959
"comp 288",0.0215151669564033,0.00420218104617253,99.7407964581421
"comp 289",0.0212451758561588,0.00414944840940602,99.7449459065515
"comp 290",0.0210337786161381,0.00410815988596448,99.7490540664375
"comp 291",0.020806564401677,0.00406378210970255,99.7531178485472
"comp 292",0.0205209405899145,0.00400799620896768,99.7571258447561
"comp 293",0.0202922092749735,0.00396332212401826,99.7610891668802
"comp 294",0.0197884654944707,0.0038649346668888,99.764954101547
"comp 295",0.0195745491056705,0.00382315412220126,99.7687772556692
"comp 296",0.019432245499636,0.00379536044914765,99.7725726161184
"comp 297",0.0192519710135551,0.00376015058858497,99.776332766707
"comp 298",0.0188322990079944,0.00367818339999891,99.780010950107
"comp 299",0.0186797613721416,0.00364839089299641,99.783659341
"comp 300",0.0184553512143951,0.00360456078406153,99.787263901784
"comp 301",0.018257549679133,0.00356592767170565,99.7908298294557
"comp 302",0.0181880105412282,0.00355234580883362,99.7943821752646
"comp 303",0.0175662727458683,0.0034309126456774,99.7978130879103
"comp 304",0.0173996995227697,0.00339837881304096,99.8012114667233
"comp 305",0.0172421388250327,0.0033676052392642,99.8045790719626
"comp 306",0.0168387247029977,0.00328881341855423,99.8078678853811
"comp 307",0.0167609845726536,0.00327362979934641,99.8111415151805
"comp 308",0.0161939645689047,0.00316288370486421,99.8143043988853
"comp 309",0.0161455236779154,0.00315342259334285,99.8174578214787
"comp 310",0.0160985765189902,0.00314425322636527,99.820602074705
"comp 311",0.0157759539575309,0.00308124100733025,99.8236833157124
"comp 312",0.0155161246192612,0.00303049308969946,99.8267138088021
"comp 313",0.015386113018,0.00300510019882813,99.8297189090009
"comp 314",0.0152120097919704,0.00297109566249423,99.8326900046634
"comp 315",0.0149949005710984,0.00292869151779265,99.8356186961812
"comp 316",0.0148518845930996,0.00290075870958977,99.8385194548908
"comp 317",0.0147664526249435,0.00288407277830928,99.8414035276691
"comp 318",0.0145502412292269,0.00284184399008338,99.8442453716592
"comp 319",0.0141273557080697,0.00275924916173235,99.8470046208209
"comp 320",0.0140118363642192,0.00273668678988656,99.8497413076108
"comp 321",0.0137423935248932,0.00268406123533069,99.8524253688461
"comp 322",0.0137060341591889,0.00267695979671658,99.8551023286428
"comp 323",0.0135468883052935,0.00264587662212763,99.857748205265
"comp 324",0.0133418238917453,0.00260582497885651,99.8603540302438
"comp 325",0.0130829000154596,0.00255525390926945,99.8629092841531
"comp 326",0.0129112170736304,0.00252172208469345,99.8654310062378
"comp 327",0.0127222794008433,0.00248482019547722,99.8679158264333
"comp 328",0.012480214914756,0.00243754197553829,99.8703533684088
"comp 329",0.012336285208227,0.00240943070473183,99.8727627991135
"comp 330",0.0121488996400559,0.00237283196094842,99.8751356310745
"comp 331",0.0119088669783304,0.00232595058170516,99.8774615816562
"comp 332",0.0117446722040285,0.00229388128984931,99.879755462946
"comp 333",0.0116643281037933,0.00227818908277213,99.8820336520288
"comp 334",0.0114736867173244,0.00224095443697742,99.8842746064658
"comp 335",0.0112249546717558,0.0021923739593273,99.8864669804251
"comp 336",0.0111373813270705,0.00217526979044345,99.8886422502156
"comp 337",0.0109989058847052,0.00214822380560649,99.8907904740212
"comp 338",0.0109611942692572,0.00214085825571429,99.8929313322769
"comp 339",0.0106541009792781,0.00208087909751525,99.8950122113744
"comp 340",0.0105778081352495,0.00206597815141591,99.8970781895258
"comp 341",0.0103101359179421,0.00201369842147306,99.8990918879473
"comp 342",0.0102610366172716,0.00200410871431085,99.9010959966616
"comp 343",0.010049923212447,0.00196287562743106,99.903058872289
"comp 344",0.00989366930098078,0.00193235728534781,99.9049912295744
"comp 345",0.00978555581387973,0.00191124136989838,99.9069024709443
"comp 346",0.00964913746375045,0.00188459716088876,99.9087870681052
"comp 347",0.00961192839945653,0.00187732976551885,99.9106643978707
"comp 348",0.00931538795969955,0.00181941171087882,99.9124838095815
"comp 349",0.00922649364012395,0.00180204953908671,99.9142858591206
"comp 350",0.00896618775830288,0.00175120854654353,99.9160370676672
"comp 351",0.0088416896644894,0.00172689251259559,99.9177639601798
"comp 352",0.00869475526505414,0.00169819438770589,99.9194621545675
"comp 353",0.00856535464253541,0.0016729208286202,99.9211350753961
"comp 354",0.00848716114116572,0.00165764866038393,99.9227927240565
"comp 355",0.00837621083773989,0.00163597867924607,99.9244287027357
"comp 356",0.00820295761910659,0.00160214015998175,99.9260308428957
"comp 357",0.00815262319985512,0.0015923092187217,99.9276231521144
"comp 358",0.00798543815171988,0.00155965588900779,99.9291828080034
"comp 359",0.00784301344551272,0.0015318385635767,99.930714646567
"comp 360",0.00775013744013597,0.00151369871877656,99.9322283452858
"comp 361",0.00757868829632942,0.00148021255787684,99.9337085578437
"comp 362",0.00738456213834987,0.00144229729264646,99.9351508551363
"comp 363",0.00734239878163614,0.00143406226203831,99.9365849173983
"comp 364",0.00709359296576931,0.00138546737612682,99.9379703847745
"comp 365",0.00700390557889157,0.00136795030837726,99.9393383350829
"comp 366",0.00697011326431788,0.00136135024693709,99.9406996853298
"comp 367",0.00679402728359429,0.00132695845382701,99.9420266437836
"comp 368",0.00664481688384189,0.00129781579762537,99.9433244595812
"comp 369",0.00653774092286893,0.00127690252399784,99.9446013621052
"comp 370",0.00648775930769637,0.00126714048978445,99.945868502595
"comp 371",0.00634378818351497,0.00123902112959277,99.9471075237246
"comp 372",0.00625912918883942,0.0012224861696952,99.9483300098943
"comp 373",0.00613548842258141,0.00119833758253543,99.9495283474769
"comp 374",0.00599054150541686,0.00117002763777673,99.9506983751146
"comp 375",0.0059262773375593,0.00115747604249205,99.9518558511571
"comp 376",0.00580848299831805,0.00113446933560899,99.9529903204927
"comp 377",0.0056736417338048,0.00110813315113375,99.9540984536439
"comp 378",0.00560193188412887,0.00109412732111892,99.955192580965
"comp 379",0.00551549156220155,0.00107724444574249,99.9562698254107
"comp 380",0.00544442801105561,0.0010633648459093,99.9573331902566
"comp 381",0.00528875789632858,0.00103296052662668,99.9583661507833
"comp 382",0.00522012871512215,0.00101955638967229,99.9593857071729
"comp 383",0.00519747508951132,0.00101513185342018,99.9604008390264
"comp 384",0.00507076204701997,0.000990383212308588,99.9613912222387
"comp 385",0.00490304647531442,0.000957626264709847,99.9623488485034
"comp 386",0.00485388324328934,0.000948024070954948,99.9632968725743
"comp 387",0.00471304844798546,0.000920517274997159,99.9642173898493
"comp 388",0.0046814179253763,0.000914339438550058,99.9651317292879
